id,animal_category,disease,sym_part,symptom,url
916,鳥,アボカド中毒 <鳥>,呼吸の異常,['呼吸が荒い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1125?breed=03999
917,鳥,アボカド中毒 <鳥>,意識・状態の異常,['ずっと寝ている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1125?breed=03999
918,鳥,アボカド中毒 <鳥>,その他の症状,['羽を膨らませている' '頭部が吐物で汚れている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1125?breed=03999
919,鳥,鉛中毒症 <鳥>,便の異常,['下痢をしている' '便の色がいつもと異なる'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1126?breed=03999
920,鳥,鉛中毒症 <鳥>,吐く,['吐いている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1126?breed=03999
921,鳥,鉛中毒症 <鳥>,尿の異常,['尿の色がおかしい'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1126?breed=03999
922,鳥,鉛中毒症 <鳥>,意識・状態の異常,['痙攣を起こす' 'ずっと寝ている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1126?breed=03999
923,鳥,鉛中毒症 <鳥>,その他の症状,['食欲がない' '羽を膨らませている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1126?breed=03999
924,鳥,鉛中毒症 <鳥>,食欲,['食欲不振（食欲がない）'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1126?breed=03999
925,鳥,卵秘（卵塞、卵詰まり） <鳥>,便の異常,['血液が混ざっている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1119?breed=03999
926,鳥,卵秘（卵塞、卵詰まり） <鳥>,吐く,['吐いている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1119?breed=03999
927,鳥,卵秘（卵塞、卵詰まり） <鳥>,呼吸の異常,['呼吸が荒い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1119?breed=03999
928,鳥,卵秘（卵塞、卵詰まり） <鳥>,その他の症状,['お腹が膨れる' '食欲がない' '羽を膨らませている' 'いきんでいる'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1119?breed=03999
929,鳥,卵秘（卵塞、卵詰まり） <鳥>,食欲,['食欲不振（食欲がない）'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1119?breed=03999
930,鳥,そ嚢炎 <鳥>,吐く,['吐いている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1117?breed=03999
931,鳥,そ嚢炎 <鳥>,体重の変化,['体重が減る'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1117?breed=03999
932,鳥,そ嚢炎 <鳥>,その他の症状,['食欲がない' '羽を膨らませている' '頭部が吐物で汚れている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1117?breed=03999
933,鳥,そ嚢炎 <鳥>,食欲,['食欲不振（食欲がない）'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1117?breed=03999
934,鳥,痛風（つうふう） <鳥>,吐く,['吐いている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1129?breed=03999
935,鳥,痛風（つうふう） <鳥>,尿の異常,['尿の量が多い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1129?breed=03999
936,鳥,痛風（つうふう） <鳥>,その他の症状,['水をたくさん飲む' '食欲がない' '羽を膨らませている' 'あしなど毛のないところに白い塊がある'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1129?breed=03999
937,鳥,痛風（つうふう） <鳥>,食欲,['食欲不振（食欲がない）'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1129?breed=03999
938,鳥,甲状腺腫瘍（こうじょうせんしゅよう） <鳥>,呼吸の異常,['呼吸が荒い' '呼吸音がする'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1127?breed=03999
939,鳥,甲状腺腫瘍（こうじょうせんしゅよう） <鳥>,その他の症状,['羽を膨らませている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1127?breed=03999
940,鳥,栄養性脚弱症 <鳥>,呼吸の異常,['呼吸が荒い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1128?breed=03999
941,鳥,栄養性脚弱症 <鳥>,歩き方・座り方の異常,['立てない'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1128?breed=03999
942,鳥,栄養性脚弱症 <鳥>,その他の症状,['羽を膨らませている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1128?breed=03999
943,鳥,破傷風 <鳥>,意識・状態の異常,['震えている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1185?breed=03999
944,鳥,高病原性鳥インフルエンザ <鳥>,その他の症状,['その他'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1124?breed=03999
945,フェレット,人獣共通感染症（ズーノーシス）/皮膚糸状菌症  <フェレット>,皮膚の症状,['毛が抜ける' '痒がる' '白いかさぶたみたいなものがある' '赤い' '脱毛'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1194?breed=05999
946,フェレット,リンパ腫 <フェレット>,皮膚の症状,['しこりがある'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1168?breed=05999
947,フェレット,リンパ腫 <フェレット>,便の異常,['下痢をしている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1168?breed=05999
948,フェレット,リンパ腫 <フェレット>,吐く,['吐いている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1168?breed=05999
949,フェレット,リンパ腫 <フェレット>,体重の変化,['体重が減る'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1168?breed=05999
950,フェレット,リンパ腫 <フェレット>,咳をする,['咳をする'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1168?breed=05999
